permission,protection_level,orginal
android.permission.PROVIDE_TRUST_AGENT,signatureOrSystem
android.permission.HDMI_CEC,signatureOrSystem
android.permission.FRAME_STATS,signature
com.android.server.telecom.permission.REGISTER_CONNECTION_MANAGER,signature
com.android.server.telecom.permission.REGISTER_PROVIDER_OR_SUBSCRIPTION,signature
com.google.android.gm.email.permission.ACCESS_PROVIDER,signature
android.permission.BIND_TRUST_AGENT,signature
android.permission.TRUST_LISTENER,signature
android.permission.BROADCAST_CALLLOG_INFO,signatureOrSystem
android.permission.BROADCAST_SCORE_NETWORKS,signatureOrSystem
android.permission.MODIFY_PARENTAL_CONTROLS,signatureOrSystem
android.permission.ACCESS_DRM_CERTIFICATES,signatureOrSystem
android.permission.REGISTER_CALL_PROVIDER,signatureOrSystem
android.permission.REGISTER_SIM_SUBSCRIPTION,signatureOrSystem
android.permission.REGISTER_CONNECTION_MANAGER,signatureOrSystem
android.permission.CARRIER_FILTER_SMS,signatureOrSystem
android.permission.ACCESS_FM_RADIO,signatureOrSystem
android.permission.BROADCAST_NETWORK_PRIVILEGED,signatureOrSystem
android.permission.ACCESS_PDB_STATE,signature
com.google.android.launcher.permission.WRITE_SETTINGS,signatureOrSystem
com.google.android.launcher.permission.READ_SETTINGS,normal
com.google.android.googlequicksearchbox.permission.FINISH_GEL_ACTIVITY,signature
com.google.android.googlequicksearchbox.permission.PAUSE_HOTWORD,signatureOrSystem
android.permission.CONTROL_VPN,signatureOrSystem
com.google.android.launcher.permission.CONTENT_REDIRECT,signature
android.permission.RECEIVE_STK_COMMANDS,signatureOrSystem
android.permission.BIND_CARRIER_MESSAGING_SERVICE,signatureOrSystem
com.google.android.launcher.permission.RECEIVE_FIRST_LOAD_BROADCAST,signatureOrSystem
com.google.android.googlequicksearchbox.permission.FLUSH_LOGS,signature
com.google.android.launcher.permission.RECEIVE_LAUNCH_BROADCASTS,signature
android.permission.GET_ACCOUNTS,dangerous
android.permission.ACCESS_IMS_CALL_SERVICE,signatureOrSystem
android.permission.BODY_SENSORS,dangerous
android.permission.USE_FINGERPRINT,normal
android.permission.READ_EXTERNAL_STORAGE,dangerous
com.google.android.apps.photos.permission.C2D_MESSAGE,signature
android.permission.INTENT_FILTER_VERIFICATION_AGENT,signatureOrSystem
android.permission.WRITE_SETTINGS,signature
android.permission.USE_CREDENTIALS,normal
android.permission.KILL_UID,signature
android.permission.ACCESS_NOTIFICATION_POLICY,normal
android.permission.ACCESS_MOCK_LOCATION,signature
android.permission.GET_PACKAGE_IMPORTANCE,signatureOrSystem
